TimeStamp,ProductionGe100MW,ProductionLt100MW,SolarPower,OffshoreWindPower,OnshoreWindPower,Exchange_Sum,CO2Emission
2025-04-09 00:00:00,1048.19,584.57,1.23,352.68,436.42,1355.19,152.8
2025-04-09 01:00:00,823.97,561.06,1.88,462.51,479.66,1489.14,123.42
2025-04-09 02:00:00,923.31,561.43,2.46,581.03,491.99,1257.48,121.22
2025-04-09 03:00:00,838.22,561.78,3.88,630.7,509.21,1173.01,117.36
2025-04-09 04:00:00,883.91,571.44,1.84,639.45,425.88,1046.34,120.45
2025-04-09 05:00:00,1117.51,622.57,1.45,607.4,354.01,991.96,158.05
2025-04-09 06:00:00,1182.35,764.41,10.04,569.82,263.77,1372.67,162.59
2025-04-09 07:00:00,1188.17,673.43,147.32,505.08,235.49,1902.47,154.85
2025-04-09 08:00:00,1233.25,697.32,501.42,449.45,205.62,1713.16,140.19
2025-04-09 09:00:00,1134.97,586.11,1057.02,426.07,228.22,1462.79,116.26
2025-04-09 10:00:00,809.15,497.73,1728.48,401.17,219.43,1479.78,70.55
2025-04-09 11:00:00,520.39,464.11,2296.92,376.05,235.57,1474.51,58.41
2025-04-09 12:00:00,368.48,439.65,2646.89,448.92,232.75,1382.52,75.89
2025-04-09 13:00:00,334.21,409.23,2551.42,469.77,231.28,1585.37,94.24
2025-04-09 14:00:00,374.06,393.04,2649.39,415.45,255.79,1252.0,72.66
2025-04-09 15:00:00,433.31,400.18,2617.16,552.41,342.61,649.59,51.52
2025-04-09 16:00:00,507.93,413.75,2118.41,891.46,390.29,770.7,55.63
2025-04-09 17:00:00,630.06,456.17,1495.02,799.77,370.46,1276.53,76.14
2025-04-09 18:00:00,1048.6,784.48,732.29,639.23,291.34,1080.93,154.39
2025-04-09 19:00:00,1150.2,705.38,178.2,1060.06,281.49,1053.85,144.03
2025-04-09 20:00:00,1145.82,663.98,5.54,973.04,242.06,1255.36,141.44
2025-04-09 21:00:00,1209.6,744.71,0.0,900.48,217.58,1024.86,150.92
2025-04-09 22:00:00,1126.83,633.9,0.0,916.92,187.22,1115.93,149.5
2025-04-09 23:00:00,962.22,550.16,0.0,827.16,195.59,1307.87,142.38
2025-04-10 00:00:00,809.97,526.25,0.0,696.74,240.36,1575.07,128.03
2025-04-10 01:00:00,841.51,527.15,0.02,461.96,416.25,1626.03,132.79
2025-04-10 02:00:00,845.36,542.4,0.02,231.18,385.93,1789.26,138.75
2025-04-10 03:00:00,815.24,528.46,0.0,137.24,323.68,1863.96,142.15
2025-04-10 04:00:00,906.88,517.64,0.12,108.07,239.49,1796.84,150.95
2025-04-10 05:00:00,1136.91,546.29,0.07,54.28,152.72,1874.92,185.54
2025-04-10 06:00:00,1157.86,622.23,13.1,24.13,108.21,2339.28,186.15
2025-04-10 07:00:00,1195.67,641.71,223.55,24.05,80.16,2530.85,184.42
2025-04-10 08:00:00,1164.1,613.9,703.43,61.72,81.29,2226.75,128.5
2025-04-10 09:00:00,977.04,598.56,1298.77,103.53,125.04,1729.01,91.49
2025-04-10 10:00:00,832.14,547.03,1963.02,111.12,420.77,1032.7,66.49
2025-04-10 11:00:00,757.68,475.74,2387.65,152.23,840.3,271.76,59.24
2025-04-10 12:00:00,486.91,416.65,2521.4,305.91,1202.14,45.95,47.74
2025-04-10 13:00:00,301.99,363.04,2575.23,539.98,1526.47,148.27,35.17
2025-04-10 14:00:00,176.2,335.16,2395.17,995.88,2091.05,-365.44,21.1
2025-04-10 15:00:00,169.17,345.91,2242.97,1380.31,2524.01,-1066.14,18.1
2025-04-10 16:00:00,223.88,355.57,2103.4,1783.62,3038.77,-2084.91,16.22
2025-04-10 17:00:00,264.38,388.67,1179.29,2194.48,3475.11,-2125.13,18.05
2025-04-10 18:00:00,232.22,398.97,453.29,2315.11,3631.47,-1735.74,19.84
2025-04-10 19:00:00,217.12,406.64,156.25,2461.94,3622.5,-1765.83,20.11
